,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
385,Yunus Musah,19, M(CR),,,13(16),1262,0.8,0.5,0.8,-,0.3,0.5,-,-,6.4
386,Andrés Guardado,35, D(L),M(CL),,17(11),1394,1.1,0.8,0.9,0.1,0.9,0.8,0.1,-,6.4
387,Uros Racic,24, DMC,,,13(15),1201,1.1,0.6,1,-,0.7,0.8,0.2,-,6.4
388,Rober Pier,27, D(C),DMC,,21(6),2009,1.3,1.1,1.3,0.4,3.2,0.6,0.6,-,6.4
389,Lucas Pérez,33, AM(CR),FW,,16(2),1279,0.2,0.2,0.3,-,0.2,0.4,-,-,6.4
390,Florentino,22, M(C),,,9(13),986,1.9,1,0.8,-,0.5,0.8,0.1,-,6.4
391,David López,32, D(C),DMC,,8(10),744,1,0.6,0.5,0.2,1.4,0.4,0.4,-,6.4
392,Rober,21, Forward,,,1(3),132,1.3,0.3,0.5,-,-,0.5,-,-,6.39
393,Guido Carrillo,31, FW,,,11(18),1157,0.2,-,1.1,0.1,0.9,0.3,0.1,-,6.39
394,Darko Brasanac,30, M(CR),,,27(8),2412,1,0.7,1.5,0.1,0.4,0.7,0.2,-,6.39
395,Aleix Vidal,32, D(R),M(LR),,21(10),1908,1,0.8,0.8,0.2,0.8,0.6,0.2,-,6.39
396,Joaquín,40, M(CLR),FW,,2(19),455,0.3,0.1,-,-,0.3,0.2,0.1,-,6.39
397,Son,28, D(LR),,,22(4),1979,1.1,0.7,0.8,0.1,1.1,0.7,0.2,-,6.39
398,Fernando Niño,21, FW,,,9(14),879,0.4,0.1,0.8,-,0.6,0.4,0.1,-,6.39
399,Dani Ceballos,25, M(CL),,,2(9),269,0.6,0.4,0.3,-,0.1,0.4,0.2,-,6.39
400,Ángel Rodríguez,35, FW,,,19(10),1551,0.5,0.1,1.3,-,0.4,0.6,-,-,6.37
401,Óscar Melendo,24, AM(CR),FW,,14(7),999,0.5,-,0.4,-,0.4,0.5,-,-,6.37
402,Ander Guevara,24, DMC,,,11(6),872,1.1,0.7,0.9,-,0.5,0.4,0.4,-,6.37
403,Unai Dufur,23, Defender,,,1,90,-,4,1,-,4,-,-,-,6.37
404,Mickaël Malsa,26, DMC,,,11(15),1137,1.4,0.7,0.7,0.1,0.5,1,0.3,-,6.37
405,Bebé,31, AM(LR),FW,,6(23),852,0.2,0.1,0.4,-,0.1,0.4,-,-,6.37
406,Pablo Martínez,24, M(C),,,7(6),655,1.2,1.2,0.8,-,0.3,0.7,0.2,-,6.37
407,Ilaix Moriba,19, M(C),,,9(5),819,1.9,0.9,1.5,0.2,1,1.5,-,-,6.37
408,Nico Williams,19, M(R),,,11(23),1330,0.6,0.1,0.7,-,0.2,0.6,0.1,-,6.36
409,Toni Moya,24, DMC,,,17(11),1386,0.8,0.7,1,-,0.6,1.1,0.2,-,6.36
410,Jason,27, M(R),,,10(4),683,0.8,0.5,0.9,-,0.3,0.9,-,-,6.36
411,Diego González,27, D(CL),,,19(9),1790,0.9,0.7,0.9,0.5,3.1,0.3,0.5,-,6.36
412,Njegos Petrovic,22, DMC,,,10(5),918,1.6,0.6,0.7,-,0.7,0.4,0.3,-,6.36
413,Ezequiel Ponce,25, AM(L),FW,,5(8),664,0.4,0.1,1.1,-,0.5,0.5,-,-,6.36
414,Santiago Arias,30, D(R),,,4(8),434,1,0.4,0.5,0.1,0.8,0.4,0.3,-,6.36
415,Jan Oblak,29, GK,,,38,3420,-,-,-,-,0.4,-,-,1,6.35
416,Franco Russo,27, D(C),,,17(2),1465,1,1.4,1.4,0.3,3.7,0.9,0.5,1,6.35
417,Giovanni González,27, D(R),,,3(6),364,1,0.4,0.3,-,1.4,0.2,0.2,-,6.35
418,Bryan Gil,21, AM(CLR),,,9(4),758,1,0.1,1,-,0.2,0.8,-,-,6.35
419,Hélder Costa,28, AM(CLR),,,13(9),1119,1.2,0.1,1.3,-,0.3,1.2,-,-,6.34
420,Anthony Martial,26, AM(LR),FW,,7(2),495,0.2,-,0.6,-,0.3,0.4,-,-,6.34
421,Okay Yokuslu,28, D(C),DMC,,1(7),133,0.5,0.3,0.3,0.1,0.8,0.1,0.1,-,6.34
422,Luka Jovic,24, FW,,,1(14),360,0.1,0.1,0.2,-,0.3,0.1,-,-,6.34
423,Fede San Emeterio,25, DMC,,,10(2),836,1.3,0.7,2.2,-,0.4,0.8,-,-,6.34
424,Jeison Murillo,30, D(C),,,13(7),1118,0.8,0.9,0.7,0.4,1.7,0.2,0.4,-,6.34
425,Munir El-Haddadi,26, AM(LR),FW,,5(12),471,0.5,0.3,0.4,-,0.1,0.4,0.1,-,6.33
426,Dani Gómez,23, FW,,,11(17),1060,0.3,0.1,0.6,-,0.2,0.3,-,-,6.33
427,Rodrigo Battaglia,30, M(C),,,12(14),1176,1.2,0.4,1.1,0.1,1.4,0.6,0.4,-,6.33
428,Raúl Parra,22, Defender,,,1(1),88,1,-,-,-,2.5,1,-,-,6.33
429,Jon Guridi,27, M(C),,,1(7),200,0.6,0.4,0.5,-,0.5,0.4,0.1,-,6.32
430,Cristo Romero,22, Defender,,,0(1),16,-,-,1,-,-,-,-,-,6.32
431,Gonzalo Villar,24, M(C),,,2(8),292,0.5,0.1,0.9,-,-,0.3,0.1,-,6.32
432,Unai López,26, M(CR),,,13(14),1155,0.7,0.4,1,-,0.2,0.9,-,-,6.32
433,Mikel Vesga,29, DMC,,,17(15),1357,0.8,0.6,1.1,-,1,0.6,0.2,-,6.32
