,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
4,"125Giorgio ChielliniJuventus, 37, D(C)","Giorgio Chiellini Juventus, 37, D(C)",16(5),1354,1.0,1.0,0.7,0.2,2.7,0.3,0.9,-,6.74
5,"126Andrea PinamontiEmpoli, 23, FW","Andrea Pinamonti Empoli, 23, FW",32(4),2871,0.3,0.2,0.9,-,0.6,0.4,0.1,-,6.74
6,"127Francesco AcerbiLazio, 34, D(C)","Francesco Acerbi Lazio, 34, D(C)",29(1),2530,0.8,1.1,0.6,0.6,3.0,0.2,0.9,-,6.73
7,"128Mattia BaniGenoa, 28, D(C)","Mattia Bani Genoa, 28, D(C)",13(4),1214,1.4,1.2,0.8,0.1,4.4,0.2,0.6,-,6.73
8,"129Domenico CriscitoGenoa, 35, D(CL),M(L)","Domenico Criscito Genoa, 35, D(CL),M(L)",18(2),1622,1.9,2.0,1.1,0.3,2.6,0.5,0.6,-,6.73
9,"130Rafael TolóiAtalanta, 31, D(C)","Rafael Tolói Atalanta, 31, D(C)",16(4),1440,1.9,1.3,1.4,0.3,1.8,0.8,0.6,-,6.73
0,"131Nicolò RovellaGenoa, 20, DMC","Nicolò Rovella Genoa, 20, DMC",16(5),1467,1.8,1,1.2,-,0.7,1.2,-,-,6.73
1,"132Wojciech SzczesnyJuventus, 32, GK","Wojciech Szczesny Juventus, 32, GK",33,2970,-,-,0.1,-,0.6,-,-,-,6.73
2,"133Lucas MartínezFiorentina, 26, D(C)","Lucas Martínez Fiorentina, 26, D(C)",16(4),1431,1.8,1,1.5,0.6,2.3,0.7,0.5,-,6.73
3,"134Ethan AmpaduVenezia, 21, D(C),DMC","Ethan Ampadu Venezia, 21, D(C),DMC",26(3),2289,2.3,1.8,1.6,-,2.5,1.2,0.7,-,6.73
4,"135Weston McKennieJuventus, 23, D(C),M(CLR)","Weston McKennie Juventus, 23, D(C),M(CLR)",15(6),1372,1,1.1,0.9,-,0.9,0.9,0.4,-,6.73
5,"136Stefan de VrijInter, 30, D(C)","Stefan de Vrij Inter, 30, D(C)",28(2),2413,1.3,1.1,0.6,0.4,1.7,0.2,0.3,1,6.73
6,"137Giorgos KyriakopoulosSassuolo, 26, D(L)","Giorgos Kyriakopoulos Sassuolo, 26, D(L)",22(7),1973,1,0.4,1.0,0.3,1.4,0.7,0.3,-,6.73
7,"138Alberto GrassiCagliari, 27, DMC","Alberto Grassi Cagliari, 27, DMC",26(4),2185,1.6,2.1,0.9,0.1,1.0,0.7,0.3,-,6.73
8,"139Stanislav LobotkaNapoli, 27, DMC","Stanislav Lobotka Napoli, 27, DMC",19(4),1687,1.7,0.5,0.8,-,0.5,1,-,-,6.73
9,"140Darko LazovicVerona, 31, M(CLR)","Darko Lazovic Verona, 31, M(CLR)",32(2),2783,1.1,0.6,0.4,0.1,1.1,0.5,0.1,-,6.72
0,"141Filip DjuricicSassuolo, 30, AM(CLR),FW","Filip Djuricic Sassuolo, 30, AM(CLR),FW",9(3),678,1.1,0.3,0.8,-,-,0.7,0.1,-,6.72
1,"142Mërgim VojvodaTorino, 27, D(CR),M(LR)","Mërgim Vojvoda Torino, 27, D(CR),M(LR)",22(7),1978,1.3,0.7,0.7,0.1,1.4,0.6,0.3,-,6.72
2,"143Remo FreulerAtalanta, 30, DMC","Remo Freuler Atalanta, 30, DMC",28(1),2380,2.4,1.2,1.5,-,0.8,1.4,0.3,1,6.71
3,"144Johan VásquezGenoa, 23, D(CL)","Johan Vásquez Genoa, 23, D(CL)",27(1),2282,2.8,1.5,1.1,0.3,2.9,1,0.4,-,6.71
