,Player,Player.1,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"516Enzo CrivelliSaint-Etienne, 27, AM(L),FW",Enzo Crivelli Saint-Etienne,27, AM(L),FW,,0(4),98,-,-,-,-,0.8,61.9,1,-,6.12
6,"517ThulerMontpellier, 23, D(C)",Thuler Montpellier,23, D(C),,,10(6),855,-,-,1,1,0.1,83.5,0.9,-,6.12
7,"518Jonathan IglesiasClermont Foot, 33, DMC",Jonathan Iglesias Clermont Foot,33, DMC,,,5(10),571,-,-,-,-,0.1,88.6,0.1,-,6.12
8,"519Sekou YansanéPSG, 19, Forward",Sekou Yansané PSG,19, Forward,,,0(1),16,-,-,-,-,-,100,-,-,6.11
9,"520Mamadou CamaraTroyes, 21, Forward",Mamadou Camara Troyes,21, Forward,,,0(3),38,-,-,-,-,0.3,69.2,0.7,-,6.11
0,"521Marin JakolisAngers, 25, Forward",Marin Jakolis Angers,25, Forward,,,2(8),224,-,-,-,-,0.9,77.3,0.3,-,6.11
1,"522Dilane BakwaBordeaux, 19, Forward",Dilane Bakwa Bordeaux,19, Forward,,,0(6),44,-,-,-,-,0.3,50,0.5,-,6.1
2,"523Charles BoliLens, 23, Midfielder",Charles Boli Lens,23, Midfielder,,,0(4),29,-,-,-,-,-,83.3,0.3,-,6.1
3,"524Mehdi ZerkaneBordeaux, 22, AM(R)",Mehdi Zerkane Bordeaux,22, AM(R),,,0(6),78,-,-,-,-,0.2,90,0.2,-,6.1
4,"525Andy DioufRennes, 19, Midfielder",Andy Diouf Rennes,19, Midfielder,,,0(5),11,-,-,-,-,-,70,-,-,6.1
5,"526Paul BaysseBordeaux, 34, D(CR)",Paul Baysse Bordeaux,34, D(CR),,,0(2),9,-,-,-,-,-,50,-,-,6.1
6,"527Anastasios DonisReims, 25, AM(CR),FW",Anastasios Donis Reims,25, AM(CR),FW,,3(10),364,-,-,-,1,0.8,72.3,0.2,-,6.1
7,"528Mathys TelRennes, 17, Forward",Mathys Tel Rennes,17, Forward,,,0(7),50,-,-,-,-,0.4,75,-,-,6.09
8,"529El Hadji DieyeSaint-Etienne, 20, Midfielder",El Hadji Dieye Saint-Etienne,20, Midfielder,,,0(5),33,-,-,-,-,0.4,28.6,0.2,-,6.08
9,"530Jerome PhojoClermont Foot, 29, Defender",Jerome Phojo Clermont Foot,29, Defender,,,0(1),5,-,-,-,-,-,66.7,-,-,6.08
0,"531Sacha DelayeMontpellier, 20, Forward",Sacha Delaye Montpellier,20, Forward,,,3(7),249,-,1,-,-,0.3,75.3,0.1,-,6.08
1,"532Arnaud Kalimuendo-MuingaPSG, 20, FW",Arnaud Kalimuendo-Muinga PSG,20, FW,,,0(2),6,-,-,-,-,-,100,-,-,6.07
2,"533Warren TchimbembéMetz, 24, Midfielder",Warren Tchimbembé Metz,24, Midfielder,,,1(8),202,-,-,-,-,-,88.3,0.1,-,6.07
3,"534Loris BenitoBordeaux, 30, D(CL),M(L)",Loris Benito Bordeaux,30, D(CL),M(L),,1,62,-,-,-,-,-,80.9,-,-,6.07
4,"535Loum TchaounaRennes, 18, Forward",Loum Tchaouna Rennes,18, Forward,,,0(10),79,-,-,-,-,0.2,63.6,0.2,-,6.07
5,"536Lohann DoucetNantes, 19, Midfielder",Lohann Doucet Nantes,19, Midfielder,,,0(2),5,-,-,-,-,-,70,-,-,6.07
6,"537Youssouph BadjiBrest, 20, FW",Youssouph Badji Brest,20, FW,,,1(8),130,-,-,-,-,0.2,64.7,0.8,-,6.06
7,"538Pierre-Yves HamelLorient, 28, FW",Pierre-Yves Hamel Lorient,28, FW,,,0(3),27,-,-,1,-,-,57.1,0.7,-,6.06
8,"539Xavi SimonsPSG, 19, Midfielder",Xavi Simons PSG,19, Midfielder,,,1(5),127,-,-,1,-,0.3,81.4,0.3,-,6.06
9,"540Assane DiousséSaint-Etienne, 24, DMC",Assane Dioussé Saint-Etienne,24, DMC,,,0(4),21,-,-,-,-,-,97.1,0.3,-,6.06
0,"541Josue AlbertClermont Foot, 30, Defender",Josue Albert Clermont Foot,30, Defender,,,0(2),20,-,-,-,-,0.5,80,-,-,6.06
1,"542Ignacio RamírezSaint-Etienne, 25, Forward",Ignacio Ramírez Saint-Etienne,25, Forward,,,1(4),123,-,-,-,-,0.4,70,0.2,-,6.05
2,"543Sead KolasinacMarseille, 28, D(CL),DMC,M(L)",Sead Kolasinac Marseille,28, D(CL),DMC,M(L),6(8),440,-,1,-,-,-,79.8,0.4,-,6.05
3,"544Pierre-Yves HamelClermont Foot, 28, FW",Pierre-Yves Hamel Clermont Foot,28, FW,,,6(11),518,-,-,2,-,0.8,73.2,1.4,-,6.05
4,"545Derek Mazou-SackoTroyes, 17, Midfielder",Derek Mazou-Sacko Troyes,17, Midfielder,,,0(2),2,-,-,-,-,-,-,-,-,6.05
5,"546Moussa DoumbiaReims, 27, AM(CL),FW",Moussa Doumbia Reims,27, AM(CL),FW,,0(4),82,-,-,-,-,1,84.8,-,-,6.04
6,"547Redwan BourlèsLorient, 19, Midfielder",Redwan Bourlès Lorient,19, Midfielder,,,0(4),13,-,-,-,-,-,60,0.3,-,6.04
7,"548Alexandre LetellierPSG, 31, GK",Alexandre Letellier PSG,31, GK,,,0(1),7,-,-,-,-,-,100,-,-,6.04
8,"549Alpha SissokoSaint-Etienne, 25, D(R)",Alpha Sissoko Saint-Etienne,25, D(R),,,1,46,-,-,1,-,-,71.4,-,-,6.04
9,"550Antonin BobichonAngers, 26, AM(CL)",Antonin Bobichon Angers,26, AM(CL),,,0(4),34,-,-,-,-,-,80,-,-,6.04
0,"551Oriol BusquetsClermont Foot, 23, D(C),DMC",Oriol Busquets Clermont Foot,23, D(C),DMC,,2(7),196,-,-,-,-,0.1,89.4,0.1,-,6.03
1,"552Mathys SabanSaint-Etienne, 20, Midfielder",Mathys Saban Saint-Etienne,20, Midfielder,,,0(3),71,-,-,1,-,-,91.7,-,-,6.03
2,"553Noah FatarAngers, 20, Midfielder",Noah Fatar Angers,20, Midfielder,,,0(3),4,-,-,-,-,-,33.3,-,-,6.03
3,"554Baptiste MouazanLorient, 20, Midfielder",Baptiste Mouazan Lorient,20, Midfielder,,,1(2),95,-,-,-,-,0.3,77.4,-,-,6.03
4,"555Matthis AblineRennes, 19, Forward",Matthis Abline Rennes,19, Forward,,,1(6),99,-,-,-,-,0.3,77.8,-,-,6.02
5,"556Nathan BitumazalaPSG, 19, Midfielder",Nathan Bitumazala PSG,19, Midfielder,,,0(1),10,-,-,-,-,-,87.5,-,-,6.02
6,"557Casimir NingaAngers, 29, AM(LR),FW",Casimir Ninga Angers,29, AM(LR),FW,,3(13),401,-,-,2,-,0.6,81.8,0.1,-,6.02
7,"558Ibrahima BaldéLens, 19, Forward",Ibrahima Baldé Lens,19, Forward,,,0(4),53,-,-,-,-,-,66.7,0.5,-,6.02
8,"559Maghnes AklioucheMonaco, 20, Midfielder",Maghnes Akliouche Monaco,20, Midfielder,,,0(7),48,-,-,1,-,0.3,95.2,0.1,-,6.02
9,"560Levi LumekaTroyes, 23, Forward",Levi Lumeka Troyes,23, Forward,,,0(5),63,-,-,-,-,-,69.2,-,-,6.01
0,"561Yanis GuermoucheMontpellier, 21, Forward",Yanis Guermouche Montpellier,21, Forward,,,0(3),10,-,-,-,-,-,100,-,-,6.01
1,"562Aboubacar SidibeClermont Foot, 26, Midfielder",Aboubacar Sidibe Clermont Foot,26, Midfielder,,,0(1),5,-,-,-,-,-,80,-,-,6.01
2,"563Ismaël GharbiPSG, 18, Midfielder",Ismaël Gharbi PSG,18, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6.01
3,"564Yanis LhérySaint-Etienne, 19, Forward",Yanis Lhéry Saint-Etienne,19, Forward,,,0(5),67,-,-,-,-,0.4,75,0.2,-,6.01
4,"565Wilson IsidorMonaco, 21, AM(L)",Wilson Isidor Monaco,21, AM(L),,,0(4),47,-,-,-,-,0.3,47.1,1,-,6
5,"566Edouard MichutPSG, 19, Midfielder",Edouard Michut PSG,19, Midfielder,,,0(5),67,-,1,-,1,-,94.4,-,-,6
6,"567Gautier LarsonneurBrest, 25, GK",Gautier Larsonneur Brest,25, GK,,,1,1,-,-,1,-,-,-,-,-,6
7,"568Georges MikautadzeMetz, 21, FW",Georges Mikautadze Metz,21, FW,,,0(1),1,-,-,-,-,2,-,-,-,6
8,"569Ismaël DoukouréStrasbourg, 18, Defender",Ismaël Doukouré Strasbourg,18, Defender,,,0(1),16,-,-,-,-,-,33.3,-,-,6
9,"570Jonathan VaraneLens, 20, Forward",Jonathan Varane Lens,20, Forward,,,0(1),1,-,-,-,-,-,100,-,-,6
0,"571Lamine GhezaliSaint-Etienne, 22, Midfielder",Lamine Ghezali Saint-Etienne,22, Midfielder,,,0(1),1,-,-,-,-,-,50,-,-,6
1,"572Lebo MothibaStrasbourg, 26, FW",Lebo Mothiba Strasbourg,26, FW,,,0(1),1,-,-,-,-,-,-,-,-,6
2,"573Mehdi ChahiriStrasbourg, 25, AM(L)",Mehdi Chahiri Strasbourg,25, AM(L),,,0(1),16,-,-,-,-,-,20,1,-,6
3,"574Mohamed AchiNantes, 20, Midfielder",Mohamed Achi Nantes,20, Midfielder,,,0(1),9,-,-,-,-,-,66.7,-,-,6
4,"575Mykola KukharevychTroyes, 20, Forward",Mykola Kukharevych Troyes,20, Forward,,,0(2),13,-,-,-,-,0.5,42.9,0.5,-,6
5,"576Rubén PardoBordeaux, 29, M(C)",Rubén Pardo Bordeaux,29, M(C),,,0(1),5,-,-,-,-,-,100,-,-,6
6,"577Sada ThioubAngers, 27, M(LR)",Sada Thioub Angers,27, M(LR),,,0(1),2,-,-,-,-,-,66.7,-,-,6
7,"578Salim Ben SeghirMarseille, 19, Forward",Salim Ben Seghir Marseille,19, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6
8,"579Samuel KoeberleReims, 17, Midfielder",Samuel Koeberle Reims,17, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6
9,"580Tanguy ZoukrouTroyes, 19, Defender",Tanguy Zoukrou Troyes,19, Defender,,,0(4),75,-,-,1,-,0.3,92.3,0.3,-,6
0,"581Théo Le BrisLorient, 19, Defender",Théo Le Bris Lorient,19, Defender,,,0(4),57,-,-,-,-,-,75,0.3,-,6
1,"582Farid El MelaliAngers, 25, AM(R)",Farid El Melali Angers,25, AM(R),,,0(2),12,-,-,-,-,0.5,66.7,0.5,-,5.99
2,"583Jean-Kévin AugustinNantes, 24, AM(R),FW",Jean-Kévin Augustin Nantes,24, AM(R),FW,,0(7),78,-,-,1,-,0.3,78.6,0.3,-,5.99
3,"584Lenny JosephMetz, 21, Forward",Lenny Joseph Metz,21, Forward,,,0(8),147,-,-,1,-,-,63.3,0.5,-,5.99
4,"585Guédé NadjeAngers, 18, Forward",Guédé Nadje Angers,18, Forward,,,0(1),2,-,-,-,-,-,-,-,-,5.98
5,"586Maxence RiveraSaint-Etienne, 20, Forward",Maxence Rivera Saint-Etienne,20, Forward,,,0(1),4,-,-,-,-,-,-,-,-,5.98
6,"587Béni MakouanaMontpellier, 19, Forward",Béni Makouana Montpellier,19, Forward,,,1(22),305,-,-,4,-,0.3,74.3,-,-,5.98
7,"588Habib KeitaLyon, 20, Forward",Habib Keita Lyon,20, Forward,,,0(3),6,-,-,-,-,0.7,100,-,-,5.97
8,"589Arthur DesmasClermont Foot, 28, GK",Arthur Desmas Clermont Foot,28, GK,,,15,1308,-,-,-,-,-,68.1,-,-,5.96
9,"590Patrick RobertsTroyes, 25, AM(CR),FW",Patrick Roberts Troyes,25, AM(CR),FW,,0(1),14,-,-,-,-,1,80,-,-,5.96
0,"591Romain PhilippoteauxBrest, 34, AM(LR)",Romain Philippoteaux Brest,34, AM(LR),,,0(1),23,-,-,-,-,-,100,-,-,5.95
1,"592Jeanuël BelocianRennes, 17, Defender",Jeanuël Belocian Rennes,17, Defender,,,0(1),11,-,-,-,-,-,80,-,-,5.94
2,"593Johaneko Louis JeanBordeaux, 17, Defender",Johaneko Louis Jean Bordeaux,17, Defender,,,0(1),11,-,-,-,-,-,83.3,-,-,5.94
3,"594Oussama TarghallineMarseille, 20, Midfielder",Oussama Targhalline Marseille,20, Midfielder,,,0(2),4,-,-,1,-,-,100,-,-,5.94
4,"595Abdoulaye SyllaNantes, 22, Defender",Abdoulaye Sylla Nantes,22, Defender,,,2,158,-,-,1,-,-,71.1,1,-,5.93
5,"596Tiago RibeiroMonaco, 20, Defender",Tiago Ribeiro Monaco,20, Defender,,,0(1),1,-,-,-,-,-,100,-,-,5.91
6,"597Lucas CalodatSaint-Etienne, 20, Defender",Lucas Calodat Saint-Etienne,20, Defender,,,0(1),4,-,-,-,-,-,100,-,-,5.9
7,"598Josh MajaBordeaux, 23, FW",Josh Maja Bordeaux,23, FW,,,0(2),8,-,-,-,-,-,80,-,-,5.9
8,"599Jason MbockAngers, 22, Forward",Jason Mbock Angers,22, Forward,,,0(1),16,-,-,1,-,-,75,-,-,5.88
9,"600Ibrahim DiakitéReims, 18, Defender",Ibrahim Diakité Reims,18, Defender,,,0(1),3,-,-,-,-,-,50,-,-,5.86
0,"601Jérôme HergaultLorient, 36, D(LR),M(R)",Jérôme Hergault Lorient,36, D(LR),M(R),,5(3),354,-,-,-,2,0.1,75.2,0.8,-,5.86
1,"602Yadaly DiabyClermont Foot, 21, Midfielder",Yadaly Diaby Clermont Foot,21, Midfielder,,,0(5),64,-,-,1,1,0.4,66.7,0.2,-,5.85
2,"603Charles AbiSaint-Etienne, 22, FW",Charles Abi Saint-Etienne,22, FW,,,1,46,-,-,-,-,-,50,-,-,5.84
3,"604Amadou TraoréBordeaux, 20, Forward",Amadou Traoré Bordeaux,20, Forward,,,0(1),18,-,-,-,-,-,66.7,-,-,5.71
4,"605Maxwel CornetLyon, 25, D(L),M(LR),FW",Maxwel Cornet Lyon,25, D(L),M(LR),FW,1,65,-,-,-,1,-,85.7,-,-,5.06
