Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Julen Lobete,21, Forward,,,2(11),2,-,0.8,0.1,0.2,0.8,0.4,0.4,1.2,6.24,276
Iván Romero,21, Forward,,,2(3),-,-,0.4,-,0.6,1.2,0.2,1.2,1.2,6.24,178
José Mari,34, DMC,,,4(7),-,-,0.4,0.1,0.1,0.6,-,0.3,0.4,6.24,384
Myrto Uzuni,27, AM(L),FW,,9(6),1,1,0.7,0.5,0.6,0.8,0.5,0.6,1.9,6.24,859
Antonio Barragán,34, D(CR),M(R),,12(4),-,-,0.1,0.1,-,1.1,-,0.1,0.6,6.24,1023
Mario Hernández,23, Defender,,,5(4),1,-,0.3,0.2,0.2,0.4,0.1,0.3,1,6.24,394
Fran Mérida,32, AM(C),,,4(7),-,-,0.4,0.4,0.8,0.5,-,0.2,0.2,6.24,265
Javier Pastore,32, AM(CLR),,,7(7),-,-,0.6,0.8,0.6,0.4,0.1,0.8,0.7,6.24,526
Koffi,20, Defender,,,1(2),-,1,0.3,0.3,1,0.3,-,-,0.7,6.23,78
Nicolás Serrano,19, Forward,,,3(11),1,-,0.6,0.2,0.3,0.4,0.1,0.1,1.1,6.23,308
Darío Poveda,25, Forward,,,3(12),1,-,0.3,0.2,0.5,0.1,0.1,0.5,1.4,6.23,372
Clément Grenier,31, M(CL),,,0(5),1,-,0.2,0.2,-,-,-,0.2,-,6.23,57
Javi Llabrés,19, Midfielder,,,1(4),-,-,1,0.6,0.8,-,0.2,0.2,0.8,6.23,129
Vitolo,32, M(CLR),FW,,1(6),-,-,0.1,0.4,0.7,1.3,0.1,0.3,0.6,6.23,217
Oier Zarraga,23, M(R),,,8(23),1,-,0.6,0.2,0.1,0.4,-,0.3,0.6,6.23,1151
Ander Martín,21, Forward,,,1(4),-,-,0.6,0.4,0.2,-,-,0.2,1.2,6.23,85
Martín Calderón,23, Midfielder,,,1(5),-,-,0.3,0.2,0.2,0.2,-,-,0.2,6.22,111
Rober Ibáñez,29, AM(R),,,1(3),-,-,0.8,0.5,0.5,1.3,0.3,0.8,1,6.22,91
Jaume Doménech,31, GK,,,4(1),-,-,-,-,-,-,-,-,-,6.22,343
Gabriel Veiga,20, Midfielder,,,0(7),-,-,0.3,0.1,0.9,0.4,-,0.1,0.4,6.22,102
Iñigo Pérez,34, D(L),M(CL),,4(6),1,-,0.4,0.8,-,0.3,-,0.3,-,6.22,337
Miguelón,26, D(R),,,1(1),-,-,-,-,1,0.5,-,-,1,6.22,70
Álvaro Jiménez,27, M(R),,,1(8),-,-,0.3,0.2,0.9,0.8,-,0.2,1,6.21,228
Pablo Piatti,33, M(CLR),,,3(7),-,-,0.4,0.4,0.2,0.8,0.1,0.4,1,6.21,307
Nikola Vukcevic,30, DMC,,,0(6),-,-,0.2,0.3,0.2,0.2,-,-,0.3,6.21,114
Jakub Jankto,26, M(CLR),,,7(8),-,2,0.4,0.3,0.3,0.5,-,0.3,0.5,6.2,585
Carlos Bacca,35, FW,,,5(13),-,1,0.5,0.4,0.4,0.4,0.3,0.2,0.4,6.2,509
Yusuf Demir,19, Forward,,,2(4),-,-,0.2,-,0.8,0.7,-,0.8,1.3,6.2,191
Tachi,24, D(C),,,2(3),-,-,-,0.2,-,0.8,-,-,0.4,6.2,238
