,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
143,"144Pablo FornalsWest Ham, 26, M(CLR)",Pablo Fornals,26, M(CLR),,,32(4),2804,6,3,4,-,1.2,78.1,0.6,2,6.8
144,"145David RayaBrentford, 26, GK",David Raya,26, GK,,,24,2160,-,-,1,-,-,64.5,0.4,-,6.8
145,"146Joël VeltmanBrighton, 30, D(CR),M(R)",Joël Veltman,30, D(CR),M(R),,33(1),2881,1,1,6,-,0.4,79.7,1.7,2,6.8
146,"147Lucas DigneEverton, 28, D(CL),M(L)",Lucas Digne,28, D(CL),M(L),,13,1170,-,-,4,-,0.7,76,1.9,-,6.8
147,"148Calum ChambersAston Villa, 27, D(CR),DMC",Calum Chambers,27, D(CR),DMC,,9(2),829,1,-,1,-,0.3,82.8,2.4,-,6.79
148,"149Pascal GroßBrighton, 30, M(CR),FW",Pascal Groß,30, M(CR),FW,,24(5),2043,2,4,1,-,0.8,82.8,0.5,1,6.79
149,"150Harvey BarnesLeicester, 24, AM(CL)",Harvey Barnes,24, AM(CL),,,24(8),2107,6,10,2,-,2.1,76.4,0.8,-,6.79
150,"151Naby KeïtaLiverpool, 27, M(C)",Naby Keïta,27, M(C),,,14(9),1175,3,1,3,-,1.1,86,0.3,-,6.79
151,"152Hugo LlorisTottenham, 35, GK",Hugo Lloris,35, GK,,,38,3420,-,-,2,-,-,76.8,0.4,-,6.78
152,"153Raphaël VaraneMan Utd, 29, D(C)",Raphaël Varane,29, D(C),,,20(2),1829,1,1,-,-,0.4,87.8,2.5,1,6.78
153,"154Demarai GrayEverton, 25, AM(CLR),FW",Demarai Gray,25, AM(CLR),FW,,28(6),2352,5,4,3,-,1.9,81.5,0.1,-,6.78
154,"155Stuart DallasLeeds, 31, D(LR),M(CLR)",Stuart Dallas,31, D(LR),M(CLR),,34,2929,1,1,5,-,0.9,78.8,0.9,3,6.78
155,"156João PedroWatford, 20, AM(L),FW",João Pedro,20, AM(L),FW,,15(13),1639,3,1,1,-,1.7,69.9,2,-,6.78
156,"157Daniel PodenceWolves, 26, AM(CLR),FW",Daniel Podence,26, AM(CLR),FW,,15(11),1486,2,3,2,-,1.3,74.1,0.1,-,6.78
157,"158Benjamin WhiteArsenal, 24, D(CR),DMC",Benjamin White,24, D(CR),DMC,,32,2880,-,-,3,-,0.4,84.6,1.9,1,6.78
158,"159Douglas LuizAston Villa, 24, M(C)",Douglas Luiz,24, M(C),,,31(3),2720,2,3,7,-,0.7,86.8,0.8,1,6.77
159,"160Ben DaviesTottenham, 29, D(CL),M(L)",Ben Davies,29, D(CL),M(L),,28(1),2540,1,1,6,-,0.6,85,2.3,-,6.77
160,"161Callum Hudson-OdoiChelsea, 21, M(CLR)",Callum Hudson-Odoi,21, M(CLR),,,11(4),966,1,2,1,-,1.2,85.3,0.3,-,6.77
161,"162Jacob RamseyAston Villa, 21, AM(C)",Jacob Ramsey,21, AM(C),,,29(5),2477,6,1,6,-,1,87,0.5,1,6.77
162,"163Kieran TierneyArsenal, 25, D(CL),M(L)",Kieran Tierney,25, D(CL),M(L),,22,1919,1,3,-,-,0.7,82.5,0.5,-,6.77
163,"164Marc GuéhiCrystal Palace, 21, D(C)",Marc Guéhi,21, D(C),,,36,3223,2,1,4,-,0.5,87.4,1.9,-,6.76
164,"165Pontus JanssonBrentford, 31, D(C)",Pontus Jansson,31, D(C),,,37,3322,3,1,7,-,0.6,80.9,2.8,-,6.76
165,"166Eric DierTottenham, 28, D(CR),DMC",Eric Dier,28, D(CR),DMC,,35,3072,-,-,1,-,0.4,88.1,2,-,6.76
166,"167Lukasz FabianskiWest Ham, 37, GK",Lukasz Fabianski,37, GK,,,37,3330,-,-,2,-,-,59.2,0.3,1,6.76
167,"168Jonny EvansLeicester, 34, D(CL)",Jonny Evans,34, D(CL),,,16(2),1350,1,1,3,-,0.2,83.2,2.7,-,6.76
168,"169Malang SarrChelsea, 23, D(CL)",Malang Sarr,23, D(CL),,,6(2),546,-,-,2,-,0.1,88.2,1.6,-,6.76
169,"170Tyrick MitchellCrystal Palace, 22, D(L)",Tyrick Mitchell,22, D(L),,,35(1),3103,-,2,1,-,0.1,71.9,0.8,1,6.75
170,"171Alexis Mac AllisterBrighton, 23, M(CL),FW",Alexis Mac Allister,23, M(CL),FW,,22(11),2118,5,2,4,-,1.8,84.4,0.8,1,6.75
171,"172MarçalWolves, 33, D(CL),M(L)",Marçal,33, D(CL),M(L),,17(1),1453,-,-,3,-,0.6,77.7,1.4,-,6.75
172,"173Aaron CresswellWest Ham, 32, D(CL),M(L)",Aaron Cresswell,32, D(CL),M(L),,31,2728,2,3,3,-,0.6,82.6,1,-,6.75
173,"174Emiliano BuendíaAston Villa, 25, M(CLR)",Emiliano Buendía,25, M(CLR),,,22(13),1902,4,6,1,-,1.3,81.6,0.5,4,6.75
174,"175Gabriel MagalhãesArsenal, 24, D(C)",Gabriel Magalhães,24, D(C),,,35,3068,5,-,6,1,0.8,89.5,1.6,1,6.74
175,"176Kurt ZoumaWest Ham, 27, D(CR)",Kurt Zouma,27, D(CR),,,24,2080,1,-,1,-,0.3,87.7,2.1,-,6.74
176,"177Luke ThomasLeicester, 20, D(L),M(L)",Luke Thomas,20, D(L),M(L),,21(1),1912,-,1,2,-,0.2,80.3,1.1,-,6.74
177,"178Emile Smith RoweArsenal, 21, AM(CL)",Emile Smith Rowe,21, AM(CL),,,21(12),1922,10,2,1,-,1.2,87.4,0.2,1,6.74
