,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
129,"130Sergio AsenjoVillarreal, 32, GK",Sergio Asenjo,32, GK,,,6,540,-,-,1,-,-,78.2,0.3,-,6.74
130,"131Leandro CabreraEspanyol, 30, D(CL)",Leandro Cabrera,30, D(CL),,,37,3330,2,-,7,-,0.5,76.6,2.3,1,6.74
131,"132Álvaro NegredoCadiz, 36, FW",Álvaro Negredo,36, FW,,,24(10),2157,7,2,3,-,2,60,3.4,3,6.74
132,"133Darwin MachísGranada, 29, AM(LR)",Darwin Machís,29, AM(LR),,,16(9),1381,4,2,2,-,1.5,71.4,0.5,1,6.73
133,"134Luís MaximianoGranada, 23, GK",Luís Maximiano,23, GK,,,35,3137,-,-,2,-,-,48.1,0.2,2,6.73
134,"135Dani RodríguezMallorca, 34, AM(CLR)",Dani Rodríguez,34, AM(CLR),,,33(3),2841,3,3,7,-,1.2,78.6,1.1,1,6.73
135,"136Lucas VázquezReal Madrid, 30, D(R),M(R)",Lucas Vázquez,30, D(R),M(R),,20(9),1835,3,-,3,-,0.6,89.3,0.1,-,6.73
136,"137Papu GómezSevilla, 34, M(CL),FW",Papu Gómez,34, M(CL),FW,,19(10),1792,5,1,4,-,1.2,89,0.3,2,6.73
137,"138Alexander IsakReal Sociedad, 22, FW",Alexander Isak,22, FW,,,26(6),2157,6,2,6,-,2.3,74.3,0.9,-,6.73
138,"139Carlos AkapoCadiz, 29, D(LR)",Carlos Akapo,29, D(LR),,,21(4),1847,-,-,4,-,0.4,75.2,1.5,1,6.72
139,"140Víctor RuizReal Betis, 33, D(C)",Víctor Ruiz,33, D(C),,,17(1),1425,-,-,2,-,0.4,87,2.6,-,6.72
140,"141Stole DimitrievskiRayo Vallecano, 28, GK",Stole Dimitrievski,28, GK,,,30(1),2771,-,-,-,-,-,50.3,0.4,1,6.72
141,"142Jorge CuencaGetafe, 22, D(C)",Jorge Cuenca,22, D(C),,,31(1),2686,1,-,6,2,0.5,68,2.5,1,6.72
142,"143Manu TriguerosVillarreal, 30, M(CLR),FW",Manu Trigueros,30, M(CLR),FW,,27(8),2191,6,4,3,-,1.2,80.3,0.5,-,6.72
143,"144Iñaki WilliamsAthletic Bilbao, 27, AM(CLR),FW",Iñaki Williams,27, AM(CLR),FW,,32(6),2787,8,5,4,-,2.5,67.7,1.3,1,6.71
144,"145Sergio HerreraOsasuna, 29, GK",Sergio Herrera,29, GK,,,36,3240,-,-,3,-,-,54.8,0.3,2,6.71
145,"146Gerónimo RulliVillarreal, 30, GK",Gerónimo Rulli,30, GK,,,32,2880,-,-,2,-,-,79.2,0.4,1,6.71
146,"147Jorge MolinaGranada, 40, FW",Jorge Molina,40, FW,,,19(16),1958,10,5,2,-,1.3,64.1,2.6,5,6.71
147,"148Giorgi MamardashviliValencia, 21, GK",Giorgi Mamardashvili,21, GK,,,18,1620,-,-,2,-,-,51.3,0.3,2,6.71
